order_id;customer_id;order_date;channel;status;payment_method;shipping_cost;order_total
40;488;2025-08-11T03:35:16.580Z;marketplace;completed;pix;33.63;912.59
41;186;2025-03-25T13:22:31.598Z;marketplace;completed;credit_card;10.35;822.53
42;782;2025-10-17T16:34:34.027Z;mobile_app;canceled;pix;26.18;263.99
43;229;2024-12-17T04:13:25.699Z;marketplace;completed;pix;14.87;608.73
44;475;2025-10-10T05:34:31.409Z;web;completed;pix;23.34;968.75
45;73;2025-06-19T07:29:06.166Z;physical_store;canceled;credit_card;34.7;428.74
46;306;2025-11-29T09:11:37.758Z;physical_store;completed;pix;5.49;221.78
47;420;2025-05-18T01:46:40.026Z;physical_store;completed;pix;7.21;106.41
48;341;2025-02-19T01:41:48.869Z;mobile_app;completed;credit_card;18.08;243.27
49;793;2024-12-30T02:48:31.805Z;mobile_app;completed;credit_card;31.41;815.57
50;133;2025-08-28T03:24:28.046Z;physical_store;completed;credit_card;38.61;434.26
51;39;2025-05-26T21:02:09.983Z;mobile_app;pending;cash;35.68;797.39
52;544;2025-10-06T10:32:32.080Z;mobile_app;completed;credit_card;29.34;271.08
53;899;2025-10-31T14:41:48.413Z;marketplace;completed;credit_card;20.13;340.12
54;67;2024-12-16T13:38:38.868Z;web;completed;credit_card;29.11;633.55
55;346;2025-08-05T09:37:55.178Z;physical_store;canceled;cash;13.71;917.07
56;368;2025-10-08T03:46:38.755Z;mobile_app;completed;paypal;32.48;71.22
57;230;2025-05-13T18:19:51.482Z;mobile_app;completed;credit_card;20.19;160.89
58;729;2025-07-22T06:41:29.904Z;web;completed;debit_card;30.85;661.52
59;609;2025-08-17T20:55:59.702Z;web;completed;debit_card;0.79;696.74
60;427;2025-12-11T06:33:34.808Z;physical_store;completed;credit_card;18.98;189.04
61;712;2025-10-05T01:03:33.901Z;web;completed;debit_card;26.5;311.08
62;621;2025-01-20T22:41:51.225Z;mobile_app;completed;pix;20.46;645.8
63;290;2025-02-02T19:59:50.542Z;web;pending;credit_card;24.36;806.76
64;852;2025-02-04T17:04:46.529Z;mobile_app;completed;credit_card;6.41;563.59
65;933;2025-06-05T14:29:30.159Z;mobile_app;completed;credit_card;9.38;41.87
66;92;2025-02-14T20:36:33.714Z;web;pending;debit_card;5.97;114.25
67;524;2025-06-16T11:37:19.493Z;web;pending;credit_card;10.24;256.78
68;304;2025-01-24T23:23:04.162Z;marketplace;completed;credit_card;6.99;65.65
69;298;2025-04-22T13:53:03.366Z;marketplace;pending;credit_card;29.54;142.64
70;777;2025-09-30T20:34:27.684Z;web;completed;credit_card;25.89;367.98
71;916;2025-02-12T05:49:20.228Z;physical_store;refunded;credit_card;29.32;414.49
72;351;2025-03-09T02:09:47.307Z;mobile_app;completed;credit_card;18.26;857.25
73;707;2025-07-05T00:09:04.455Z;physical_store;pending;debit_card;31.88;162.68
74;713;2025-02-19T10:00:45.935Z;web;refunded;pix;4.15;917.15
75;495;2025-07-06T09:55:07.425Z;physical_store;completed;credit_card;14.34;62.58
76;701;2025-03-29T00:14:52.625Z;mobile_app;completed;credit_card;35.5;487.37
77;65;2025-06-29T02:27:36.551Z;marketplace;completed;credit_card;34.73;569.05
78;762;2025-06-05T08:37:09.450Z;mobile_app;refunded;debit_card;13.53;546.17
79;718;2025-10-27T17:35:57.167Z;web;completed;debit_card;19.28;689.72
80;657;2025-06-25T10:26:29.045Z;physical_store;completed;pix;35.68;656.34
81;12;2025-04-25T00:58:43.411Z;mobile_app;completed;credit_card;19.83;201.93
82;770;2025-07-24T15:35:12.983Z;physical_store;completed;credit_card;11.13;527.92
83;564;2025-07-20T19:32:40.401Z;physical_store;completed;credit_card;18.36;823.6
84;459;2024-12-26T23:38:17.800Z;web;canceled;credit_card;4.75;512.18
85;670;2025-03-24T23:55:16.757Z;web;completed;credit_card;22.29;42.46
86;94;2024-12-29T13:33:32.866Z;marketplace;canceled;credit_card;26.18;493.26
87;350;2025-09-15T17:22:16.771Z;marketplace;pending;pix;33.77;379.1
88;786;2025-03-23T04:35:33.360Z;physical_store;pending;credit_card;18.1;133.59
89;675;2025-07-24T09:50:07.306Z;mobile_app;completed;credit_card;25.35;829.26
90;561;2025-01-26T14:50:32.108Z;marketplace;pending;credit_card;6.57;164.21
91;735;2025-04-30T13:25:40.994Z;physical_store;completed;debit_card;7.5;939.11
92;403;2025-09-26T20:15:12.826Z;mobile_app;completed;pix;28.67;154.28
93;425;2025-08-29T15:19:27.414Z;web;canceled;pix;23.55;800.25
94;462;2025-11-22T04:26:06.382Z;physical_store;completed;cash;5.39;514.24
95;544;2025-04-21T01:32:58.174Z;web;completed;credit_card;23.4;949.28
96;800;2024-12-26T03:55:41.630Z;mobile_app;completed;credit_card;32.61;154.09
97;674;2025-10-22T20:42:51.649Z;marketplace;completed;credit_card;39.18;956.77
98;781;2025-09-24T02:55:52.669Z;mobile_app;completed;cash;38.82;502.61
99;137;2025-02-24T06:14:04.774Z;mobile_app;completed;debit_card;29.94;342.87
100;719;2025-12-03T13:39:36.901Z;marketplace;pending;paypal;25.3;242.17
101;640;2025-11-24T23:38:18.681Z;marketplace;completed;paypal;5.31;721.5
102;999;2025-11-19T03:05:33.906Z;mobile_app;completed;debit_card;12.9;146.0
103;361;2025-02-13T11:34:30.763Z;physical_store;completed;paypal;28.4;709.16
104;916;2025-08-07T05:05:03.394Z;marketplace;canceled;credit_card;0.51;124.85
105;391;2025-07-19T13:19:50.761Z;mobile_app;completed;credit_card;10.68;800.5
106;294;2025-11-17T15:04:01.256Z;marketplace;completed;credit_card;31.37;251.29
107;555;2024-12-18T02:40:58.756Z;web;completed;credit_card;24.64;706.66
108;576;2025-11-19T19:10:51.041Z;mobile_app;pending;credit_card;9.5;798.12
109;818;2025-03-30T23:13:50.401Z;marketplace;completed;credit_card;15.26;443.49
110;808;2025-08-05T21:46:25.764Z;marketplace;refunded;credit_card;29.75;248.78
111;890;2025-11-22T04:23:51.759Z;physical_store;pending;paypal;28.19;682.87
112;774;2025-04-25T13:50:59.593Z;mobile_app;pending;cash;11.77;205.65
113;700;2025-06-12T01:19:07.011Z;web;completed;credit_card;20.55;410.2
114;439;2025-12-08T10:47:22.469Z;marketplace;completed;credit_card;23.36;293.28
115;339;2025-07-22T00:28:01.397Z;physical_store;pending;credit_card;6.15;342.33
116;53;2025-06-02T22:03:12.745Z;marketplace;completed;credit_card;14.32;802.67
117;326;2025-03-13T01:40:17.399Z;mobile_app;refunded;credit_card;31.45;207.63
118;557;2025-01-30T22:18:39.270Z;physical_store;completed;credit_card;8.53;353.78
119;370;2025-06-30T17:01:26.143Z;marketplace;completed;pix;21.22;1017.92
120;844;2025-10-22T07:30:27.226Z;web;completed;credit_card;9.61;659.03
121;941;2024-12-23T23:34:56.873Z;mobile_app;refunded;debit_card;12.84;930.45
122;968;2025-04-03T22:11:44.587Z;web;completed;credit_card;11.31;924.42
123;842;2025-07-30T12:23:59.946Z;marketplace;completed;credit_card;19.47;329.98
124;668;2025-11-12T16:42:34.402Z;mobile_app;completed;credit_card;3.84;976.04
125;792;2025-09-01T11:22:53.533Z;web;completed;credit_card;25.18;254.09
126;702;2025-04-14T15:15:51.075Z;physical_store;pending;credit_card;33.15;914.21
127;760;2025-04-04T08:32:32.599Z;physical_store;completed;paypal;29.88;200.56
128;471;2025-07-27T07:18:10.686Z;marketplace;completed;credit_card;7.12;273.99
129;73;2025-10-29T15:41:48.533Z;mobile_app;canceled;credit_card;18.05;434.41
130;324;2025-01-30T10:13:51.240Z;web;completed;credit_card;0.24;726.12
131;65;2025-09-19T16:04:08.855Z;web;pending;credit_card;37.12;161.13
132;806;2025-09-19T05:52:59.550Z;marketplace;completed;credit_card;37.07;430.86
133;842;2025-01-19T05:38:29.650Z;web;completed;credit_card;5.46;408.63
134;817;2025-08-11T20:02:28.259Z;marketplace;refunded;credit_card;27.09;942.98
135;815;2025-03-30T11:20:05.044Z;marketplace;refunded;credit_card;34.99;193.54
136;43;2025-07-06T06:26:44.016Z;web;completed;credit_card;21.9;125.32
137;216;2025-10-03T11:01:12.863Z;marketplace;completed;paypal;34.06;193.67
138;189;2025-03-30T10:41:04.526Z;mobile_app;completed;credit_card;4.58;682.14
139;581;2025-11-03T02:37:46.994Z;web;canceled;paypal;39.77;511.81
140;563;2025-01-31T09:25:04.185Z;web;completed;credit_card;3.93;735.01
141;499;2024-12-28T14:45:31.388Z;marketplace;completed;debit_card;9.38;308.81
142;72;2025-01-15T08:41:06.857Z;mobile_app;completed;credit_card;24.65;344.21
143;599;2025-06-19T13:34:49.783Z;mobile_app;completed;credit_card;12.65;452.39
144;5;2025-07-06T04:39:06.206Z;marketplace;completed;credit_card;29.59;476.99
145;861;2025-07-26T04:49:09.239Z;marketplace;completed;debit_card;35.12;508.71
146;368;2024-12-23T13:26:31.467Z;marketplace;completed;credit_card;25.82;126.15
147;288;2025-03-06T09:41:13.407Z;mobile_app;canceled;credit_card;29.34;663.43
148;745;2025-04-20T02:05:19.763Z;web;canceled;pix;25.27;841.66
149;593;2025-12-08T17:45:16.386Z;physical_store;pending;credit_card;1.47;276.87
150;916;2025-07-07T13:47:06.367Z;physical_store;completed;credit_card;15.7;909.31
151;604;2025-08-31T18:29:37.948Z;marketplace;completed;credit_card;3.62;380.21
152;11;2024-12-24T10:10:12.652Z;mobile_app;pending;pix;24.56;207.09
153;527;2025-12-13T20:53:44.630Z;mobile_app;completed;credit_card;37.95;704.18
154;991;2025-06-03T00:39:53.162Z;mobile_app;pending;credit_card;14.35;248.79
155;500;2025-07-17T01:08:46.811Z;mobile_app;completed;credit_card;1.71;224.35
156;930;2025-01-26T11:13:08.681Z;marketplace;completed;paypal;35.26;94.37
157;665;2025-02-06T14:34:37.763Z;marketplace;completed;cash;25.34;313.37
158;760;2025-03-06T08:51:34.503Z;marketplace;completed;credit_card;15.07;406.02
159;602;2025-08-13T14:42:09.175Z;web;completed;credit_card;36.29;562.33
160;362;2025-09-06T06:07:40.824Z;marketplace;completed;credit_card;24.17;535.97
161;143;2025-09-03T19:44:28.888Z;physical_store;completed;credit_card;25.74;253.03
162;192;2025-03-16T20:06:25.800Z;mobile_app;completed;debit_card;4.73;250.47
163;831;2025-11-15T12:01:12.019Z;marketplace;pending;credit_card;19.15;245.64
164;166;2025-03-12T19:25:08.049Z;physical_store;completed;credit_card;22.94;200.85
165;645;2025-09-04T11:16:27.693Z;web;canceled;credit_card;6.65;930.65
166;530;2025-07-21T02:15:27.806Z;physical_store;completed;credit_card;0.74;725.9
167;678;2024-12-20T08:01:21.412Z;marketplace;canceled;credit_card;24.26;506.25
168;494;2025-10-08T17:43:06.128Z;mobile_app;completed;credit_card;5.71;596.7
169;786;2025-07-05T03:05:28.713Z;mobile_app;completed;credit_card;6.71;698.59
170;945;2025-11-30T03:36:31.627Z;physical_store;completed;credit_card;15.13;164.7
171;17;2025-11-14T11:57:05.562Z;mobile_app;completed;paypal;27.37;857.35
172;621;2025-09-27T18:06:09.068Z;web;completed;paypal;23.99;904.19
173;545;2025-07-19T16:01:44.212Z;web;completed;debit_card;36.08;584.58
174;2;2025-04-06T02:25:54.975Z;physical_store;completed;credit_card;1.74;540.96
175;235;2025-09-21T21:02:38.149Z;physical_store;pending;credit_card;23.56;770.13
176;780;2025-07-02T06:33:27.485Z;web;completed;credit_card;30.63;942.51
177;86;2025-03-26T22:42:40.938Z;marketplace;completed;credit_card;10.31;35.67
178;762;2025-07-13T15:53:07.747Z;web;completed;credit_card;0.29;661.75
179;705;2025-09-10T08:10:36.508Z;marketplace;completed;credit_card;17.04;610.7
180;268;2025-10-15T23:13:52.006Z;physical_store;completed;debit_card;39.67;449.18
181;209;2025-07-23T11:04:23.539Z;physical_store;completed;credit_card;7.15;575.06
182;496;2025-05-21T08:11:50.092Z;marketplace;refunded;credit_card;30.97;441.14
183;142;2025-08-05T04:54:36.072Z;web;pending;credit_card;27.97;206.53
184;220;2025-08-24T03:18:23.964Z;physical_store;pending;pix;24.56;715.43
185;54;2025-04-25T12:59:23.805Z;mobile_app;completed;debit_card;32.17;858.96
186;483;2025-02-09T06:43:05.526Z;physical_store;completed;credit_card;14.83;631.68
187;742;2025-07-25T06:50:59.643Z;physical_store;canceled;credit_card;26.25;326.99
188;987;2025-07-01T17:19:36.432Z;web;canceled;pix;25.61;475.8
189;207;2024-12-20T17:04:04.523Z;marketplace;completed;pix;20.42;724.9
190;630;2025-01-08T16:03:14.125Z;mobile_app;completed;credit_card;26.2;1002.33
191;89;2025-01-02T00:27:31.644Z;marketplace;pending;credit_card;15.81;610.17
192;531;2025-04-15T09:56:41.348Z;web;pending;credit_card;3.61;302.41
193;850;2025-06-01T05:10:27.458Z;marketplace;completed;pix;9.05;972.85
194;466;2025-03-10T14:37:35.467Z;physical_store;completed;credit_card;16.29;140.63
195;75;2025-09-17T11:46:07.432Z;marketplace;completed;credit_card;20.53;293.07
196;551;2025-04-29T21:54:11.934Z;marketplace;completed;cash;22.53;797.1
197;776;2025-11-06T17:21:27.509Z;marketplace;refunded;credit_card;18.43;613.52
198;29;2025-01-14T15:04:57.864Z;physical_store;completed;credit_card;25.35;1019.66
199;694;2025-04-10T14:07:51.717Z;mobile_app;pending;credit_card;14.12;559.06
200;718;2025-05-26T12:58:06.723Z;marketplace;completed;credit_card;26.95;851.6
201;78;2025-01-18T08:50:09.449Z;mobile_app;completed;credit_card;35.77;319.46
202;970;2025-03-06T15:27:07.723Z;mobile_app;completed;credit_card;29.42;904.71
203;212;2025-08-14T19:00:20.678Z;mobile_app;completed;credit_card;24.74;197.62
204;110;2025-01-09T13:23:39.825Z;web;canceled;debit_card;26.54;648.09
205;783;2025-07-17T23:36:48.862Z;web;pending;credit_card;12.62;912.78
206;903;2025-07-04T20:50:43.332Z;marketplace;completed;cash;36.64;331.3
207;228;2025-02-04T10:53:53.351Z;mobile_app;completed;pix;19.13;569.08
208;515;2025-03-05T15:37:13.944Z;marketplace;completed;debit_card;6.99;983.97
209;716;2024-12-22T19:14:03.976Z;physical_store;completed;credit_card;26.96;418.8
210;104;2025-03-27T17:04:48.962Z;marketplace;completed;pix;7.49;285.08
211;276;2025-06-08T05:35:23.330Z;physical_store;refunded;credit_card;7.36;442.82
212;430;2025-05-09T20:27:04.938Z;marketplace;completed;credit_card;18.03;598.01
213;590;2025-07-27T11:49:39.717Z;mobile_app;pending;debit_card;32.16;596.39
214;877;2025-08-06T02:57:20.083Z;physical_store;completed;pix;29.54;513.07
215;10;2025-10-21T08:38:53.879Z;mobile_app;completed;credit_card;35.73;673.77
216;547;2025-04-02T08:08:37.812Z;marketplace;pending;credit_card;22.49;598.97
217;408;2025-04-04T08:38:41.586Z;web;completed;credit_card;32.55;519.56
218;645;2025-09-23T23:09:01.456Z;web;completed;credit_card;14.44;583.58
219;955;2025-06-15T12:47:12.390Z;marketplace;completed;credit_card;14.04;700.03
220;621;2025-11-12T11:08:17.905Z;mobile_app;completed;debit_card;21.54;1001.33
221;292;2025-04-12T07:52:01.109Z;marketplace;completed;credit_card;30.99;488.98
222;81;2025-10-31T10:13:53.957Z;physical_store;completed;credit_card;38.26;909.15
223;656;2024-12-18T15:47:00.379Z;marketplace;completed;debit_card;16.19;925.12
224;82;2025-03-28T07:22:47.725Z;mobile_app;completed;credit_card;26.12;742.34
225;620;2025-02-20T14:06:06.523Z;physical_store;completed;credit_card;34.51;410.41
226;602;2025-09-13T00:49:54.567Z;physical_store;completed;credit_card;0.92;734.14
227;678;2025-11-09T09:07:18.602Z;marketplace;canceled;debit_card;3.2;186.77
228;106;2025-02-16T21:46:15.646Z;web;completed;pix;21.94;67.78
229;407;2025-04-04T10:17:20.173Z;web;completed;debit_card;3.37;936.33
230;400;2024-12-17T01:21:51.328Z;marketplace;completed;debit_card;17.73;161.61
231;540;2024-12-26T23:17:14.116Z;mobile_app;completed;debit_card;34.41;373.11
232;488;2025-01-13T12:58:46.947Z;physical_store;refunded;credit_card;10.9;466.85
233;993;2025-08-31T10:20:15.993Z;mobile_app;completed;credit_card;29.96;909.71
234;446;2025-04-06T17:47:58.808Z;marketplace;canceled;credit_card;9.09;116.85
235;316;2025-09-04T08:12:13.227Z;marketplace;completed;credit_card;0.42;533.27
236;777;2025-04-19T05:32:03.525Z;mobile_app;completed;credit_card;0.33;923.98
237;970;2025-11-24T11:31:19.591Z;physical_store;completed;pix;31.92;636.98
238;816;2025-05-09T19:09:14.825Z;web;completed;credit_card;35.29;483.65
239;256;2025-01-23T18:23:04.710Z;mobile_app;pending;debit_card;33.14;269.32
240;82;2025-06-28T13:32:58.128Z;physical_store;completed;credit_card;32.0;652.95
241;711;2025-04-09T11:38:23.802Z;marketplace;completed;debit_card;32.35;457.0
242;874;2025-03-28T05:39:56.205Z;web;completed;credit_card;25.48;650.85
243;279;2025-11-29T17:40:17.137Z;physical_store;completed;credit_card;1.99;546.26
244;191;2025-11-19T07:39:33.660Z;web;completed;credit_card;17.54;45.58
245;93;2025-05-04T15:08:23.994Z;mobile_app;completed;credit_card;16.81;806.82
246;511;2025-10-15T23:03:45.425Z;marketplace;completed;pix;13.21;859.89
247;975;2025-07-08T23:34:12.150Z;mobile_app;completed;pix;2.86;483.6
248;197;2025-05-02T16:15:04.302Z;marketplace;pending;pix;4.88;777.66
249;255;2025-02-12T12:57:20.101Z;physical_store;pending;credit_card;29.5;82.34
250;472;2025-02-13T09:54:42.500Z;web;completed;cash;18.91;706.72
251;320;2025-05-29T11:15:41.290Z;marketplace;completed;debit_card;29.79;588.38
252;126;2025-03-12T16:00:33.859Z;marketplace;completed;credit_card;14.42;85.47
253;683;2025-09-19T22:52:30.459Z;mobile_app;refunded;credit_card;17.37;52.14
254;814;2025-03-06T06:16:13.055Z;marketplace;completed;credit_card;9.72;979.18
255;596;2025-02-06T01:20:25.280Z;physical_store;completed;credit_card;30.83;294.58
256;512;2025-10-01T14:50:51.186Z;web;completed;credit_card;38.79;803.16
257;62;2025-08-19T02:13:01.563Z;web;completed;credit_card;21.45;146.69
258;500;2025-03-31T15:25:58.507Z;mobile_app;completed;credit_card;25.79;386.16
259;914;2025-02-19T12:39:31.132Z;physical_store;pending;credit_card;15.11;745.02
260;257;2025-03-06T11:41:12.446Z;web;completed;credit_card;11.79;714.89
261;195;2025-01-14T11:20:08.535Z;mobile_app;completed;credit_card;18.74;889.05
262;614;2025-08-06T01:58:32.149Z;mobile_app;completed;credit_card;11.83;289.91
263;376;2025-11-16T22:17:47.695Z;physical_store;completed;debit_card;15.16;216.98
264;20;2025-02-04T04:38:24.340Z;marketplace;pending;credit_card;28.84;693.96
265;552;2025-05-05T14:49:35.173Z;physical_store;completed;debit_card;30.63;201.68
266;290;2025-01-01T03:35:21.240Z;marketplace;completed;credit_card;3.85;669.56
267;45;2024-12-22T17:07:54.040Z;mobile_app;completed;credit_card;4.28;212.06
268;33;2025-10-13T18:50:41.160Z;physical_store;completed;credit_card;28.05;298.87
269;376;2025-07-24T07:44:35.279Z;mobile_app;completed;credit_card;37.21;261.77
270;504;2025-05-07T14:28:09.703Z;web;completed;debit_card;14.44;763.05
271;912;2025-11-10T19:01:05.838Z;physical_store;pending;pix;2.33;626.92
272;542;2025-08-24T09:20:18.413Z;web;pending;pix;3.12;234.7
273;532;2025-07-22T11:51:22.180Z;web;completed;credit_card;15.41;224.67
274;673;2025-05-25T23:29:28.124Z;mobile_app;completed;paypal;22.34;589.32
275;765;2025-01-20T13:12:51.911Z;web;pending;credit_card;26.98;735.48
276;438;2025-04-02T05:46:31.726Z;web;completed;credit_card;16.06;366.82
277;162;2025-02-10T15:34:23.943Z;physical_store;canceled;paypal;22.0;1018.91
278;866;2025-02-04T00:33:52.467Z;marketplace;completed;debit_card;33.05;370.03
279;247;2025-02-01T04:04:52.457Z;mobile_app;completed;credit_card;29.78;402.59
280;464;2025-04-04T15:08:40.948Z;physical_store;refunded;credit_card;1.39;300.18
281;17;2025-05-13T01:36:47.409Z;mobile_app;refunded;credit_card;12.01;249.46
282;877;2025-07-01T02:52:58.058Z;marketplace;completed;pix;27.59;318.03
283;567;2025-09-22T05:18:29.530Z;mobile_app;completed;credit_card;6.24;285.93
284;911;2025-11-10T22:05:57.726Z;mobile_app;completed;pix;3.68;415.48
285;940;2025-04-25T12:04:57.525Z;mobile_app;pending;debit_card;31.72;221.16
286;846;2025-03-13T05:49:30.203Z;web;completed;credit_card;29.23;613.99
287;81;2025-02-17T15:09:45.319Z;web;canceled;credit_card;35.19;480.81
288;953;2025-05-12T15:31:35.133Z;web;canceled;credit_card;26.11;636.37
289;12;2025-07-23T23:10:36.235Z;physical_store;completed;credit_card;12.77;586.38
290;335;2025-06-06T17:53:57.872Z;mobile_app;completed;debit_card;39.89;1011.51
291;771;2025-12-12T02:12:54.348Z;web;completed;credit_card;15.77;165.32
292;85;2024-12-17T03:00:07.245Z;physical_store;completed;credit_card;15.97;119.35
293;514;2025-03-06T03:21:22.021Z;physical_store;pending;credit_card;5.39;573.5
294;500;2025-01-30T09:49:47.166Z;physical_store;completed;credit_card;24.64;765.59
295;253;2025-04-23T22:59:29.989Z;mobile_app;completed;pix;12.94;938.6
296;92;2024-12-27T08:59:34.869Z;web;completed;credit_card;13.93;348.25
297;609;2025-03-04T00:08:49.004Z;web;pending;credit_card;13.99;839.14
298;823;2025-10-17T18:03:36.570Z;physical_store;completed;credit_card;36.97;285.79
299;702;2025-07-17T11:32:52.417Z;marketplace;completed;debit_card;3.43;748.22
300;249;2025-06-15T23:25:58.929Z;mobile_app;canceled;pix;0.55;700.47
301;114;2025-04-04T15:27:01.396Z;marketplace;completed;credit_card;8.36;555.61
302;209;2025-09-26T06:55:37.602Z;marketplace;completed;debit_card;39.69;740.86
303;685;2025-10-11T07:05:59.442Z;web;completed;paypal;21.07;291.42
304;62;2024-12-18T02:06:20.423Z;marketplace;completed;debit_card;10.85;486.51
305;968;2025-02-08T13:09:55.167Z;web;completed;debit_card;26.52;941.13
306;369;2025-05-16T23:32:47.619Z;web;completed;pix;25.98;272.53
307;390;2025-08-17T13:07:10.497Z;web;canceled;credit_card;23.88;130.14
308;204;2025-01-02T02:53:44.462Z;physical_store;completed;debit_card;1.59;925.41
309;313;2025-07-13T20:38:00.762Z;marketplace;completed;debit_card;0.73;691.36
310;364;2025-08-07T03:50:36.592Z;marketplace;completed;cash;20.05;835.71
311;641;2025-03-02T14:48:57.375Z;marketplace;canceled;pix;32.59;81.47
312;569;2025-07-29T09:32:14.368Z;marketplace;completed;credit_card;15.71;170.23
313;748;2025-06-12T01:36:58.446Z;physical_store;completed;debit_card;34.91;727.7
314;428;2025-06-11T06:22:16.926Z;mobile_app;completed;credit_card;12.5;625.76
315;460;2025-07-23T19:29:17.319Z;mobile_app;completed;credit_card;21.65;825.75
316;884;2024-12-16T01:38:46.433Z;mobile_app;completed;debit_card;20.95;173.5
317;931;2025-08-08T07:22:26.635Z;mobile_app;completed;credit_card;6.32;92.78
318;546;2025-02-20T10:46:59.918Z;web;completed;pix;5.82;54.71
319;327;2025-07-15T19:12:22.316Z;physical_store;refunded;credit_card;29.82;855.08
320;653;2025-04-19T01:53:03.405Z;marketplace;completed;credit_card;5.26;50.93
321;627;2025-01-20T15:19:44.942Z;marketplace;completed;debit_card;23.85;270.14
322;27;2025-02-06T17:20:47.408Z;marketplace;completed;pix;5.36;854.58
323;481;2025-10-18T17:35:40.884Z;marketplace;completed;credit_card;18.95;199.46
324;232;2025-05-01T20:31:19.448Z;web;completed;cash;37.02;988.21
325;228;2025-09-03T12:52:41.307Z;mobile_app;pending;credit_card;37.08;1023.0
326;888;2025-03-27T20:45:45.392Z;physical_store;completed;pix;35.5;474.5
327;795;2025-06-13T02:20:20.542Z;web;completed;pix;28.81;435.08
328;962;2025-06-21T02:15:02.969Z;web;completed;credit_card;33.08;94.65
329;252;2025-04-28T21:27:38.102Z;physical_store;refunded;credit_card;15.5;785.36
330;986;2025-12-04T12:50:55.971Z;web;completed;credit_card;35.38;813.58
331;293;2025-04-07T05:06:31.470Z;physical_store;completed;credit_card;36.76;732.91
332;926;2025-09-06T21:06:23.632Z;mobile_app;completed;debit_card;3.62;514.26
333;185;2025-07-14T22:10:02.129Z;mobile_app;completed;credit_card;1.0;465.61
334;919;2025-07-30T08:48:02.827Z;mobile_app;canceled;credit_card;12.96;668.56
335;729;2025-11-08T11:46:07.399Z;mobile_app;pending;credit_card;4.57;464.98
336;372;2025-03-08T04:33:52.294Z;web;completed;credit_card;31.64;553.07
